상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[청주출발/아침출발][우리만♥무조건단독] 오사카/교토/아라시야마 4일 [1일자유/현지차량가이드],https://www.modetour.com/package/94150575,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행,자유일정포함","오사카, 교토, 난바",4.2,0,0,26,6,4,4,41,0,0,7,18,8,4,28,0,0,7,2
[청주출발/아침출발][힐링더하기] 오사카/나라/교토/오하라/우지 4일(다도체험 포함),https://www.modetour.com/package/93572386,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","오사카, 교토, 나라, 난바",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발/아침출발]오사카/교토/아라시야마/우지 식도락 4일(7대특전+란덴열차),https://www.modetour.com/package/93448358,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","오사카, 교토, 우지, 난바",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발/아침출발]오사카/교토/아라시야마/우지 식도락 4일(7대특전+유니버셜 선택가능),https://www.modetour.com/package/94152468,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","오사카, 교토, 우지, 난바",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발] 다낭/호이안/바나힐 3박5일 [4성호텔]($275상당특전- 럭셔리 아쿠아스파 무료UP포함),https://www.modetour.com/package/95515887,"3박5일,에어로케이직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.9,2,1,17,3,7,4,29,0,1,1,11,4,4,18,1,0,2,0
[청주출발]<5성호텔/101전망대>대만/단수이/야류/지우펀/스펀 4일 (천등날리기),https://www.modetour.com/package/88616164,"3박4일,에어로케이직항,쇼핑 2회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.9,2,0,19,2,4,0,33,0,0,1,10,10,9,11,0,3,12,4
[청주출발][1일자유/노쇼핑/시내4성] 대만/야류/지우펀/스펀 4일,https://www.modetour.com/package/88616183,"3박4일,에어로케이직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함","기륭, 타이페이",4.9,2,0,19,2,4,0,33,0,0,1,10,10,9,11,0,3,12,4
[청주출발][노쇼핑/101전망대]대만/단수이/야류/지우펀/스펀 4일[4성호텔/천등날리기],https://www.modetour.com/package/95536979,"3박4일,에어로케이직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.890625,4,0,42,5,10,0,64,0,0,6,16,18,18,20,0,5,25,8
[청주출발][노쇼핑/노팁/노옵션]대만/단수이/야류/지우펀/스펀 4일(101전망대/천등날리기/발마사지/특식5회),https://www.modetour.com/package/95537225,"3박4일,에어로케이직항,쇼핑 없음,가이드 경비없음,선택관광없음","기륭, 단수이, 타이페이",4.929411765,0,0,8,1,4,0,17,0,0,4,2,1,6,5,0,0,8,0
[청주출발][노쇼핑](101전망대/천등체험/특식4회+펑리수제공)대만/단수이/예류/스펀/지우펀 4일,https://www.modetour.com/package/94331795,"3박4일,에어로케이직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.8,0,0,4,1,2,0,6,0,0,4,1,1,0,2,0,0,4,0
[청주출발][심플한 오사카] 오사카/교토/아라시야마 4일 (1일자유),https://www.modetour.com/package/93142504,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행,자유일정포함","오사카, 교토",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발][월드체인호텔/101전망대/쇼핑2회/4대특식+펑리수제공] [베이터우 온천마을]대만/예류/스펀/지우펀 4일 (천등날리기),https://www.modetour.com/package/91918314,"3박4일,에어로케이직항,쇼핑 2회,가이드 경비$40,선택관광있음","기륭, 타이페이",4.9,2,0,19,2,4,0,33,0,0,1,10,10,9,11,0,3,12,4
[청주출발][일석이조] 나고야/오사카/교토/나라/비와호 4일(온천호텔 1박 포함),https://www.modetour.com/package/93953332,"3박4일,에어로케이직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","나라, 교토, 미에현, 나고야, 오사카, 난바",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발][일석이조] 나고야/오사카/교토/우지 4일,https://www.modetour.com/package/93612573,"3박4일,에어로케이직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","교토, 미에현, 나고야, 오사카, 나라",4.2,0,0,13,3,2,2,25,0,0,5,10,6,2,16,0,0,6,1
[청주출발][판매NO.1 큐슈] 후쿠오카/유후인/벳부 4일 (월드체인힐튼+무제한대게뷔페+술음료무제한),https://www.modetour.com/package/96180761,"3박4일,에어로케이직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","유후인, 후쿠오카, 구마모토, 아소, 벳부, 오이타, 고고노에",4,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
[청주출발]대만/단수이/야류/지우펀/스펀 4일 (4성호텔/천등날리기),https://www.modetour.com/package/95536708,"3박4일,에어로케이직항,쇼핑 4회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.884615385,2,0,23,3,6,0,39,0,0,5,11,11,9,13,0,3,16,4
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 그란디스 슈페리어 3박5일,https://www.modetour.com/package/96130433,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 르메르디앙 어반룸 3박5일,https://www.modetour.com/package/96130440,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 메리어트 디럭스시티뷰 3박5일,https://www.modetour.com/package/96130431,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 밍가든 슈페리어 3박5일,https://www.modetour.com/package/96130450,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 샹그릴라 라사리아 가든윙 가든뷰 3박5일,https://www.modetour.com/package/96130446,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 샹그릴라 탄중아루 키나윙 씨뷰 3박5일,https://www.modetour.com/package/96130448,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 수트라하버 마젤란(씨뷰) 3박5일,https://www.modetour.com/package/96130442,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 수트라하버 퍼시픽 디럭스뷰 3박5일,https://www.modetour.com/package/96130444,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 하얏트리젠시 이너뷰룸 3박5일,https://www.modetour.com/package/96130435,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 하얏트센트릭 시티뷰 3박5일,https://www.modetour.com/package/96130452,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[체크아웃투어+노쇼핑+노팁+미샌딩포함] 코타키나발루 힐튼 게스트룸 3박5일,https://www.modetour.com/package/96130438,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,1,0,0,1,0,1,1,1,,,,,,,,,,,
[초특가판매][반나절관광/4인기준] 푸꾸옥 베스트웨스턴 풀빌라 5일 (2베드룸/노쇼핑/마사지1회),https://www.modetour.com/package/95433369,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[초특가판매][반나절관광] 푸꾸옥 베스트웨스턴 리조트 5일 (디럭스룸/노쇼핑/마사지1회),https://www.modetour.com/package/89789707,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[초특가판매][반나절관광] 푸꾸옥 프리미어레지던스 리조트 5일 (스탠다드발코니룸/노쇼핑/마사지1회),https://www.modetour.com/package/89790856,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
[최저가도전/하롱호텔UP] 하노이/하롱베이+닌빈 5일 (닌빈호아루 야경포함),https://www.modetour.com/package/93372052,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하노이, 하롱베이",4.5,8,2,42,10,12,6,68,0,0,8,18,20,20,32,0,6,14,14
[최저가도전/하롱호텔UP] 하노이/하롱베이+옌뜨 5일 (비경포함/하롱5성급/씨푸드포함),https://www.modetour.com/package/89672601,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하노이, 하롱베이",4.5,8,2,42,10,12,6,68,0,0,8,18,20,20,32,0,6,14,14
[최저가도전/하롱호텔UP] 하노이/하롱베이+옌뜨 5일 (하롱5성 솔레일 하롱/씨푸드포함),https://www.modetour.com/package/89672433,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하노이, 하롱베이",4.537333333,8,2,44,10,13,6,75,0,0,8,19,25,21,38,0,6,15,14
[최저가도전] 오사카/고베 3일 (1일자유+시내호텔연박),https://www.modetour.com/package/91793371,"2박3일,진에어직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행,자유일정포함","교토, 고베, 오사카, 난바, 오사카, 고베",4.804651163,0,0,21,2,12,0,43,0,0,3,8,11,1,16,0,0,7,0
[최저가도전] 오사카/고베 3일 (교토관광VS유니버셜스튜디오),https://www.modetour.com/package/91681534,"2박3일,진에어직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행,자유일정포함","오사카, 고베, 교토",5,0,0,1,0,0,0,1,,,,,,,,,,,
[최저가도전] 오사카/고베 4일 (1일자유+시내호텔연박),https://www.modetour.com/package/91845234,"3박4일,진에어직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행,자유일정포함","고베, 오사카",5,0,0,1,0,0,0,1,,,,,,,,,,,
[최저가도전] 오사카/고베 4일 (교토관광VS유니버셜스튜디오),https://www.modetour.com/package/91830022,"3박4일,진에어직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행,자유일정포함","고베, 교토, 오사카",5,0,0,1,0,0,0,1,,,,,,,,,,,
[최저가도전] 오사카/고베/교토/자유 OR USJ 4일 (1일자유+시내호텔 연박),https://www.modetour.com/package/89439564,"3박4일,에어부산직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행,자유일정포함","교토, 오사카, 고베",5,0,0,1,0,0,0,1,,,,,,,,,,,
[최저가도전] 오사카/고베/아울렛 3일 (1일자유+시내호텔연박),https://www.modetour.com/package/86438834,"2박3일,제주항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행,자유일정포함","오사카, 고베, 나라",5,0,0,3,0,0,0,3,,,,,,,,,,,
[최저가도전] 오사카/고베/아울렛 3일 (교토관광+온천VS유니버셜스튜디오),https://www.modetour.com/package/86438783,"2박3일,제주항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행","오사카, 고베, 교토, 나라",5,0,0,3,0,0,0,3,,,,,,,,,,,
[최저가도전] 후쿠오카/유후인/벳부 3일 (온천호텔+시내호텔+카이세키식),https://www.modetour.com/package/95659656,"2박3일,에어부산직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","벳부, 히타, 유후인, 후쿠오카, 오이타, 후쿠오카, 큐슈, 벳부, 유후인",4.9,10,35,210,70,95,25,429,0,9,10,85,70,46,127,0,9,51,38
[최저가도전] 후쿠오카/유후인/벳부 3일 (온천호텔+시내호텔+호텔석식1회),https://www.modetour.com/package/93149446,"2박3일,진에어직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","히타, 후쿠오카, 유후인, 벳부, 큐슈",4.9,2,7,42,14,19,5,93,0,2,2,18,15,10,27,0,2,11,8
[최저가도전][핵심일정+1일자유] 후쿠오카/유후인/벳부 4일 (시내호텔2박+온천호텔1박+카이세키식),https://www.modetour.com/package/95659647,"3박4일,제주항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행,자유일정포함","유후인, 후쿠오카, 벳부, 히타",4.9,4,14,84,28,38,10,186,0,4,4,36,30,20,54,0,4,22,16
[최저가도전]오사카/고베 3일 (교토관광VS유니버셜스튜디오),https://www.modetour.com/package/89791651,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행","오사카, 고베, 교토, 난바",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[출발임박/비즈니스석 탑승] 이탈리아 일주9일<NO팁/NO옵션/NO쇼핑/월드체인호텔/미슐렝 레스토랑>,https://www.modetour.com/package/89962546,"6박9일,에미레이트 항공경유,쇼핑 없음,가이드 경비없음,선택관광있음,인솔자동행,자유일정포함","피렌체, 아말피, 로마, 베니스, 돌로미테, 포지타노, 밀라노",3.5,0,0,1,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0
[출발임박][가이할타이][남고비일주][노쇼핑/노옵션/마사지/사우나] 7박9일 (4성호텔2박+전통게르5박),https://www.modetour.com/package/96420912,"7박9일,진에어직항,쇼핑 없음,가이드 경비$80,선택관광없음","부산, 남고비, 울란바토르",4.5,4,1,43,8,13,12,130,0,12,19,9,33,22,29,5,5,43,13
[출발임박]스페인/포르투갈/모로코 12일 <전 일정 4성호텔 숙박/인솔자 동반>,https://www.modetour.com/package/89895935,"9박12일,에미레이트 항공경유,쇼핑 3회,가이드 경비EUR120,선택관광있음,인솔자동행","페즈, 론다, 알가르베, 리스본, 마드리드, 톨레도, 바르셀로나, 그라나다, 카사블랑카, 쉐프샤우엔, 세비야, 파티마, 라바트",4.4,0,2,22,4,2,2,39,0,2,0,2,11,22,15,2,2,10,8
[출발확정/7C조인][세미팩/2일자유] 타이페이 5일 (노쇼핑/노옵션/시내4성/야+스+지),https://www.modetour.com/package/91396614,"3박5일,이스타항공직항,쇼핑 없음,가이드 경비$20,선택관광없음,자유일정포함","기륭, 타이페이",4.6,22,11,219,36,62,26,430,0,25,49,144,139,40,239,2,12,110,34
[출발확정/7C조인][특식과 함께 온천을] 타이페이 5일 (온천호텔1박/4성급호텔2박/특식3회/시내관광/야류/지우펀/스펀),https://www.modetour.com/package/89783657,"3박5일,진에어직항,쇼핑 2회,가이드 경비$40,선택관광있음","타이페이, 기륭, 단수이",4.7,6,1,57,7,18,5,98,0,4,10,31,30,16,50,2,12,22,5
[출발확정/비즈니스석 탑승] 스위스 일주 8일 <노쇼핑/노옵션/노팁/취리히 직항/4성호텔/알프스 3대 전망대/골든패스열차/온천>,https://www.modetour.com/package/92041009,"6박8일,스위스 항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,인솔자동행,자유일정포함","인터라켄, 루체른, 베른, 몽트뢰, 체르마트, 브베, 로이커바드, 취리히, 라보",5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
[출발확정] [비즈니스석 탑승] 스페인/포르투갈 9일 <고속열차탑승/5성1박+파라도르 숙박/가우디투어/인솔자동반>,https://www.modetour.com/package/93620898,"7박9일,아시아나 항공직항,쇼핑 3회,가이드 경비없음,선택관광있음,인솔자동행","론다, 바르셀로나, 그라나다, 리스본, 마드리드, 톨레도, 세비야, 발렌시아, 파티마",4.5,0,0,3,1,1,0,6,0,0,0,0,1,5,0,1,0,1,4
[출발확정] 동유럽+발칸 6국12일 (체코/오스트리아/헝가리/크로아티아/슬로베니아/보스니아) <프라하직항/2대 야경/전일정 4성 호텔/두브로브니크>,https://www.modetour.com/package/91547719,"10박12일,아시아나 항공직항,쇼핑 5회,가이드 경비EUR120,선택관광있음,인솔자동행,자유일정포함","잘츠캄머구트, 블레드, 플리트비체, 할슈타트, 부다페스트, 모스타르, 프라하, 잘츠부르크, 류블랴나, 비엔나, 체스키크롬노프, 자다르, 두브로브닉, 스플리트, 자그레브, 체스키부데요비체",4.5,1,1,9,3,5,4,28,0,1,3,4,8,9,12,2,1,6,4
[출발확정] 서유럽 3국 10일 (이탈리아/스위스/프랑스) <왕복직항+융프라우+루브르/바티칸+이탈리아 남부>,https://www.modetour.com/package/87265144,"8박10일,티웨이 항공직항,쇼핑 5회,가이드 경비EUR100,선택관광있음,인솔자동행","로마, 베니스, 인터라켄, 파리, 폼페이, 피렌체, 루체른, 소렌토, 나폴리, 바티칸",4.8,44,8,723,108,284,84,1186,0,50,80,130,262,227,370,12,38,171,160
[출발확정] 서유럽 3국 10일(프랑스/스위스/이탈리아)<에펠탑/세느강유람선/베니스곤돌라/로마벤츠투어>,https://www.modetour.com/package/93331022,"8박10일,아시아나 항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,인솔자동행","바티칸, 피렌체, 파리, 로마, 인터라켄, 베니스, 아말피, 포지타노, 체르마트",4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
[출발확정] 서유럽 3국 9일 (프랑스/스위스/이탈리아)<노쇼핑/융프라우 VIP패스 2일권/TGV탑승/루브르/바티칸>,https://www.modetour.com/package/95812744,"7박9일,티웨이 항공직항,쇼핑 없음,가이드 경비EUR90,선택관광있음,인솔자동행","파리, 로마, 인터라켄, 베니스, 피렌체, 바티칸",4.8,22,4,371,55,147,42,711,0,29,44,76,147,131,209,7,23,98,91
[출발확정] 서유럽 4국 10일 (영국/프랑스/스위스/이탈리아) <융프라우/에펠탑2층전망대/세느강유람선/베니스곤돌라/바티칸박물관>,https://www.modetour.com/package/94920140,"8박10일,아시아나 항공직항,쇼핑 6회,가이드 경비EUR100,선택관광있음,인솔자동행","런던, 파리, 인터라켄, 아말피, 베니스, 피렌체, 포지타노, 로마, 바티칸, 밀라노",4.7,5,2,61,9,27,7,123,0,3,6,12,28,35,46,1,2,22,13
[출발확정] 서유럽 4국 10일 (이탈리아/스위스/프랑스/영국) <융프라우/에펠탑2층전망대/세느강유람선/베니스곤돌라/바티칸박물관>,https://www.modetour.com/package/95474582,"8박10일,아시아나 항공직항,쇼핑 6회,가이드 경비EUR100,선택관광있음,인솔자동행","로마, 피렌체, 런던, 인터라켄, 밀라노, 파리, 베니스, 아말피, 포지타노, 바티칸, 아말피, 베니스, 파리, 런던, 포지타노, 로마, 피렌체, 인터라켄, 바티칸, 밀라노",4.80130597,28,2,348,52,114,24,536,0,25,41,67,121,117,178,21,9,70,91
[출발확정] 스위스 일주 8일 <취리히 직항/4성호텔 2박/융프라우/고르너그라트/골든패스열차/온천>,https://www.modetour.com/package/86365482,"6박8일,스위스 항공직항,쇼핑 2회,가이드 경비CHF80,선택관광있음,인솔자동행,자유일정포함","라보, 인터라켄, 루체른, 베른, 융프라우, 몽트뢰, 체르마트, 취리히, 브베, 로이커바드",4.7,8,2,85,14,36,9,156,0,4,8,16,44,41,55,4,3,30,21
[출발확정] 스위스/이탈리아 2국 9일 <노쇼핑/융프라우/루체른/관광열차/피사/폼페이>,https://www.modetour.com/package/95474538,"7박9일,티웨이 항공직항,쇼핑 없음,가이드 경비EUR90,선택관광있음,인솔자동행,자유일정포함","인터라켄, 베니스, 루체른, 폼페이, 피렌체, 피사, 바티칸, 소렌토, 로마, 밀라노",4.701431981,26,5,232,46,98,32,419,0,15,29,43,98,92,147,8,11,67,44
[출발확정] 스페인 일주 9일 <마드리드직항/전일정4성호텔/가우디투어/스페인미식10/자유시간>,https://www.modetour.com/package/92017927,"7박9일,대한항공직항,쇼핑 2회,가이드 경비EUR90,선택관광있음","톨레도, 그라나다, 세비야, 발렌시아, 바르셀로나, 마드리드, 사라고사, 론다, 꼬르도바",5,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
[출발확정] 스페인/포르투갈 10일 <NO쇼핑/NO팁/고속열차탑승/5성호텔1박/파라도르숙박(정찬식)/플라멩코쇼>,https://www.modetour.com/package/92106372,"8박10일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,인솔자동행","알가르베, 마드리드, 론다, 세비야, 리스본, 그라나다, 포르투, 바르셀로나, 톨레도, 발렌시아",4.9,0,0,12,0,0,0,15,0,0,0,1,2,12,3,0,0,8,4
[출발확정] 스페인/포르투갈 9일 <고속열차탑승/5성1박+파라도르 숙박/가우디투어/인솔자동반>,https://www.modetour.com/package/89829274,"7박9일,아시아나 항공직항,쇼핑 3회,가이드 경비EUR90,선택관광있음,인솔자동행","론다, 바르셀로나, 그라나다, 리스본, 마드리드, 톨레도, 세비야, 발렌시아, 파티마",4.5,16,14,266,50,100,34,370,0,31,23,41,154,108,183,5,30,94,44
[출발확정] 스페인/포르투갈 9일 <고속열차탑승/특급1박+파라도르 숙박/가우디투어/인솔자동반>,https://www.modetour.com/package/91572723,"7박9일,아시아나 항공직항,쇼핑 3회,가이드 경비EUR90,선택관광있음,인솔자동행","론다, 바르셀로나, 그라나다, 리스본, 마드리드, 톨레도, 세비야, 발렌시아, 파티마",4.5,3,2,18,3,8,4,30,0,1,2,2,16,7,10,1,2,9,6
[출발확정] 이탈리아 일주 9일 <노쇼핑/돌로미티/친퀘테레/오르비에또/치비타 디 반뇨레죠>,https://www.modetour.com/package/91500531,"7박9일,티웨이 항공직항,쇼핑 없음,가이드 경비EUR90,선택관광있음,자유일정포함","베니스, 피렌체, 친퀘테레, 폼페이, 바티칸, 돌로미테, 소렌토, 로마, 치비타",4.5,36,32,398,112,188,68,629,0,23,42,87,158,94,181,17,24,106,76
[출발확정]<오후출발>대만/단수이/야류/지우펀/스펀 4일 (4성호텔/천등날리기),https://www.modetour.com/package/87424800,"3박4일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.7,56,10,540,73,149,43,949,1,44,100,182,269,165,447,19,31,192,72
"[출발확정]<인천출발> [노팁,노옵션★월드체인] THE 특별한 북경/고북수진(숙박) 4일",https://www.modetour.com/package/93761041,"3박4일,대한항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",북경,4.5,8,2,36,14,14,2,68,0,0,10,16,12,24,36,0,4,18,4
[출발확정][101빌딩포함/망고빙수+버블티] 타이페이/단수이 4일(쇼핑2회/시외4성급/고궁/단수이/야류/지우펀/스펀),https://www.modetour.com/package/90727780,"3박4일,대한항공직항,쇼핑 2회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.6,22,11,219,36,62,26,430,0,25,49,144,139,40,239,2,12,110,34
[출발확정][50억페스타] 하노이+하롱베이+옌뜨 4일 [하롱베이5성UP/마사지/루프탑BAR],https://www.modetour.com/package/95564872,"3박4일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하롱베이, 하노이",4.8,24,12,219,30,67,32,442,0,15,14,35,89,37,97,5,10,60,18
[출발확정][50억페스타][노쇼핑] 테를지 신게르 2인실 초원+징기스후레+시내투어 5일,https://www.modetour.com/package/95668392,"4박5일,대한항공직항,쇼핑 없음,가이드 경비$50,선택관광있음","울란바토르, 테를지",3.3,1,0,1,1,2,0,17,0,0,1,0,4,9,2,0,1,10,1
[출발확정][5성UP+비경] 하노이+하롱베이+옌뜨 3박4일,https://www.modetour.com/package/87652970,"3박4일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하롱베이, 하노이",4.8,28,8,177,30,46,21,354,0,8,14,15,64,50,80,1,9,45,16
"[출발확정][KP전용 0513][노팁,노옵션★월드체인] THE 특별한 북경/고북수진(숙박) 4일",https://www.modetour.com/package/95929386,"3박4일,아시아나 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",북경,4.2,2,0,11,1,4,2,21,0,2,0,1,10,6,11,2,0,5,1
[출발확정][MD추천 큐슈] 후쿠오카/유후인/벳부/구마모토 4일(특급온천1박+북큐슈 핵심일주+샤브샤브무제한+간식제공),https://www.modetour.com/package/93329731,"3박4일,에어서울직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행,자유일정포함","구마모토, 벳부, 아소, 유후인, 기타큐슈, 후쿠오카",4.553846154,2,0,23,7,7,2,52,0,0,6,10,13,17,23,3,3,14,3
[출발확정][VIP리무진버스]미동부+캐나다11일[퀘벡숙박/나이아가라/뉴욕/워싱턴/몬트리올/보스턴/아울렛],https://www.modetour.com/package/94537090,"9박11일,대한항공직항,쇼핑 2회,가이드 경비$268,선택관광있음","나이아가라, 몬트리올, 뉴욕, 워싱턴 DC, 나이아가라폭포, 킹스턴, 오타와, 보스턴, 토론토, 퀘벡, 몽트랑블랑, 헤리스버그, 뉴저지",4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
[출발확정][多담은 고품격 큐슈] 후쿠오카/구마모토 3일 (무제한대게뷔페+술음료무제한),https://www.modetour.com/package/95336323,"2박3일,아시아나 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행","아소, 후쿠오카, 구마모토",5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
[출발확정][고베X대한항공X월드체인숙박] 고베/오사카/교토/아라시야마/나라/히메지 4일 (팁포함/호텔대욕장/4대특식/대게무제한/고베직항),https://www.modetour.com/package/95944790,"3박4일,대한항공직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행","나라, 교토, 히메지, 오사카, 고베",5,0,0,3,1,1,1,8,0,1,4,1,1,1,5,1,0,1,1
[출발확정][노쇼핑/101전망대]대만/단수이/야류/지우펀/스펀 4일 (4성호텔/천등날리기),https://www.modetour.com/package/87887705,"3박4일,아시아나 항공직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.7,56,10,540,73,149,43,949,1,44,100,182,269,165,447,19,31,192,72
