상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[$140상당특전/호핑+노쇼핑+노팁] 세부 마리바고 디럭스 3박5일,https://www.modetour.com/package/86742351,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 비(BE)리조트 쿨룸 3박5일,https://www.modetour.com/package/86747278,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 샹그릴라 디럭스(메인윙) 3박5일,https://www.modetour.com/package/86743918,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 솔레아 프리미어씨티뷰 3박5일 [리조트디너1회/워터파크],https://www.modetour.com/package/86755400,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 쉐라톤 코트야드 3박5일,https://www.modetour.com/package/86746192,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 알테라 디럭스씨티뷰 3박5일,https://www.modetour.com/package/86747410,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 티샤인 디럭스 3박5일,https://www.modetour.com/package/86771579,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁] 세부 플랜테이션베이 풀사이드룸 3박5일,https://www.modetour.com/package/93528215,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$150상당 옵션포함][3대 야경투어+케이블카+바구니배+전신마사지]푸꾸옥 뉴 패키지 3박5일 [5성급호텔/쇼핑2회],https://www.modetour.com/package/91251979,"3박5일,제주항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함",푸꾸옥,3.9,0,0,12,0,8,0,28,0,0,4,8,16,0,16,0,0,8,4
[$150상당 옵션포함][3대 야경투어+케이블카+바구니배+전신마사지]푸꾸옥 뉴 패키지 4박6일 [5성급호텔/쇼핑2회],https://www.modetour.com/package/94250492,"4박6일,비엣젯 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함",푸꾸옥,3.9,0,0,3,0,2,0,7,0,0,1,2,4,0,4,0,0,2,1
